Zero Cm
CL	Mach
AoA [deg]	0.14	0.7	0.95	1.05	1.3	2	3	4																																							
0	0.007	0.012	0.02	0.03	0.026	0.022	0.029	0.027																																							
4	0.143	0.155	0.166	0.159	0.137	0.108	0.097	0.08																																							
8	0.279	0.297	0.294	0.287	0.25	0.198	0.17	0.141																																							
12	0.415	0.425	0.414	0.408	0.368	0.29	0.246	0.207																																							
16	0.556	0.567	0.545	0.532	0.504	0.402	0.335	0.277																																							
20	0.698	0.711	0.676	0.657	0.641	0.516	0.426	0.348																																							
																																															
CD	Mach																																														
AoA [deg]	0.14	0.7	0.95	1.05	1.3	2	3	4																																							
0	0.017	0.018	0.04	0.066	0.061	0.052	0.042	0.037																																							
4	0.021	0.018	0.057	0.084	0.077	0.061	0.048	0.045																																							
8	0.031	0.037	0.093	0.114	0.101	0.079	0.066	0.061																																							
12	0.05	0.076	0.147	0.154	0.135	0.107	0.095	0.086																																							
16	0.085	0.145	0.214	0.213	0.194	0.152	0.138	0.125																																							
20	0.154	0.24	0.288	0.285	0.273	0.212	0.194	0.175	
